sentence,sentiment,polarity,subjectivity,index
Don't sit yet.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,227
You're going to like this.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,228
(Laughter.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,229
"And exactly one century after Congress passed the constitutional amendment giving women the right to vote, we also have more women serving in Congress than at any time before.","Sentiment(polarity=0.3452380952380952, subjectivity=0.42857142857142855)",0.345238095,0.428571429,230
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,231
AUDIENCE: USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,232
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,233
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,234
THE PRESIDENT: That's great.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,235
Really great.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,236
And congratulations.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,237
That's great.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,238
"As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first-ever government-wide initiative focused on economic empowerment for women in developing countries.","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,239
To build on � (applause) � thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,240
"To build on our incredible economic success, one priority is paramount: reversing decades of calamitous trade policies.","Sentiment(polarity=0.46666666666666673, subjectivity=0.3666666666666667)",0.466666667,0.366666667,241
So bad.,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",-0.7,0.666666667,242
"We are now making it clear to China that, after years of targeting our industries and stealing our intellectual property, the theft of American jobs and wealth has come to an end.","Sentiment(polarity=0.13333333333333333, subjectivity=0.2611111111111111)",0.133333333,0.261111111,243
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,244
"Therefore, we recently imposed tariffs on $250 billion of Chinese goods, and now our Treasury is receiving billions and billions of dollars.","Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125,245
But I don't blame China for taking advantage of us; I blame our leaders and representatives for allowing this travesty to happen.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,246
"I have great respect for President Xi, and we are now working on a new trade deal with China.","Sentiment(polarity=0.4681818181818182, subjectivity=0.6022727272727273)",0.468181818,0.602272727,247
"But it must include real, structural change to end unfair trade practices, reduce our chronic trade deficit, and protect American jobs.","Sentiment(polarity=-0.09999999999999999, subjectivity=0.43333333333333335)",-0.1,0.433333333,248
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,249
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,250
Another historic trade blunder was the catastrophe known as NAFTA.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,251
"I have met the men and women of Michigan, Ohio, Pennsylvania, Indiana, New Hampshire, and many other states whose dreams were shattered by the signing of NAFTA.","Sentiment(polarity=0.17045454545454544, subjectivity=0.4431818181818182)",0.170454545,0.443181818,252
"For years, politicians promised them they would renegotiate for a better deal, but no one ever tried, until now.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,253
"Our new U.S.-Mexico-Canada Agreement, the USMCA, will replace NAFTA and deliver for American workers like they haven't had delivered to for a long time.","Sentiment(polarity=0.028787878787878782, subjectivity=0.28484848484848485)",0.028787879,0.284848485,254
"I hope you can pass the USMCA into law so that we can bring back our manufacturing jobs in even greater numbers, expand American agriculture, protect intellectual property, and ensure that more cars are proudly stamped with our four beautiful words: ""Made in the USA.""","Sentiment(polarity=0.42142857142857143, subjectivity=0.4857142857142857)",0.421428571,0.485714286,255
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,256
"Tonight, I am also asking you to pass the United States Reciprocal Trade Act, so that if another country places an unfair tariff on an American product, we can charge them the exact same tariff on the exact same product that they sell to us.","Sentiment(polarity=0.0, subjectivity=0.2916666666666667)",0,0.291666667,257
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,258
Both parties should be able to unite for a great rebuilding of America's crumbling infrastructure.,"Sentiment(polarity=0.65, subjectivity=0.6875)",0.65,0.6875,259
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,260
"I know that Congress is eager to pass an infrastructure bill, and I am eager to work with you on legislation to deliver new and important infrastructure investment, including investments in the cutting-edge industries of the future.","Sentiment(polarity=0.1787878787878788, subjectivity=0.5265151515151515)",0.178787879,0.526515152,261
This is not an option.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,262
This is a necessity.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,263
"The next major priority for me, and for all of us, should be to lower the cost of healthcare and prescription drugs, and to protect patients with preexisting conditions.","Sentiment(polarity=0.03125, subjectivity=0.25)",0.03125,0.25,264
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,265
"Already, as a result of my administration's efforts, in 2018, drug prices experienced their single largest decline in 46 years.","Sentiment(polarity=0.3642857142857143, subjectivity=0.5571428571428572)",0.364285714,0.557142857,266
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,267
But we must do more.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,268
"It's unacceptable that Americans pay vastly more than people in other countries for the exact same drugs, often made in the exact same place.","Sentiment(polarity=0.14583333333333334, subjectivity=0.2708333333333333)",0.145833333,0.270833333,269
"This is wrong, this is unfair, and together we will stop it � and we'll stop it fast.","Sentiment(polarity=-0.26666666666666666, subjectivity=0.8333333333333334)",-0.266666667,0.833333333,270
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,271
"I am asking Congress to pass legislation that finally takes on the problem of global freeloading and delivers fairness and price transparency for American patients, finally.","Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,272
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,273
"We should also require drug companies, insurance companies, and hospitals to disclose real prices to foster competition and bring costs way down.","Sentiment(polarity=0.022222222222222213, subjectivity=0.2944444444444445)",0.022222222,0.294444444,274
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,275
No force in history has done more to advance the human condition than American freedom.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.19999999999999998)",0.166666667,0.2,276
"In recent years � (applause) � in recent years, we have made remarkable progress in the fight against HIV and AIDS.","Sentiment(polarity=0.25, subjectivity=0.4166666666666667)",0.25,0.416666667,277
Scientific breakthroughs have brought a once-distant dream within reach.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,278
My budget will ask Democrats and Republicans to make the needed commitment to eliminate the HIV epidemic in the United States within 10 years.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,279
We have made incredible strides.,"Sentiment(polarity=0.9, subjectivity=0.9)",0.9,0.9,280
Incredible.,"Sentiment(polarity=0.9, subjectivity=0.9)",0.9,0.9,281
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,282
"Together, we will defeat AIDS in America and beyond.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,283
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,284
"Tonight, I am also asking you to join me in another fight that all Americans can get behind: the fight against childhood cancer.","Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,285
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,286
"Joining Melania in the gallery this evening is a very brave 10-year-old girl, Grace Eline.","Sentiment(polarity=1.0, subjectivity=1.0)",1,1,287
"Every birthday � (applause) � hi, Grace.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,288
(Laughter.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,289
"Every birthday since she was four, Grace asked her friends to donate to St. Jude's Children's Hospital.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,290
She did not know that one day she might be a patient herself.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,291
That's what happened.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,292
"Last year, Grace was diagnosed with brain cancer.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,293
"Immediately, she began radiation treatment.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,294
"At the same time, she rallied her community and raised more than $40,000 for the fight against cancer.","Sentiment(polarity=0.25, subjectivity=0.3125)",0.25,0.3125,295
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,296
"When Grace completed treatment last fall, her doctors and nurses cheered � they loved her; they still love her � with tears in their eyes as she hung up a poster that read: ""Last day of chemo.""","Sentiment(polarity=0.3, subjectivity=0.38333333333333336)",0.3,0.383333333,297
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,298
"Thank you very much, Grace.","Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,299
You are a great inspiration to everyone in this room.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,300
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,301
Many childhood cancers have not seen new therapies in decades.,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.318181818,0.477272727,302
My budget will ask Congress for $500 million over the next 10 years to fund this critical lifesaving research.,"Sentiment(polarity=0.0, subjectivity=0.4)",0,0.4,303
"To help support working parents, the time has come to pass School Choice for Americans' children.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,304
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,305
"I am also proud to be the first President to include in my budget a plan for nationwide paid family leave, so that every new parent has the chance to bond with their newborn child.","Sentiment(polarity=0.3954545454545455, subjectivity=0.5959595959595959)",0.395454545,0.595959596,306
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,307
There could be no greater contrast to the beautiful image of a mother holding her infant child than the chilling displays our nation saw in recent days.,"Sentiment(polarity=0.024999999999999994, subjectivity=0.6625)",0.025,0.6625,308
Lawmakers in New York cheered with delight upon the passage of legislation that would allow a baby to be ripped from the mother's womb moments from birth.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,309
"These are living, feeling, beautiful babies who will never get the chance to share their love and their dreams with the world.","Sentiment(polarity=0.675, subjectivity=0.8)",0.675,0.8,310
"And then, we had the case of the Governor of Virginia where he stated he would execute a baby after birth.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,311
"To defend the dignity of every person, I am asking Congress to pass legislation to prohibit the late-term abortion of children who can feel pain in the mother's womb.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,312
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,313
Let us work together to build a culture that cherishes innocent life.,"Sentiment(polarity=0.5, subjectivity=0.7)",0.5,0.7,314
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,315
And let us reaffirm a fundamental truth: All children � born and unborn � are made in the holy image of God.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,316
The final part of my agenda is to protect American security.,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,317
"Over the last two years, we have begun to fully rebuild the United States military, with $700 billion last year and $716 billion this year.","Sentiment(polarity=-0.03333333333333333, subjectivity=0.07777777777777778)",-0.033333333,0.077777778,318
We are also getting other nations to pay their fair share.,"Sentiment(polarity=0.2875, subjectivity=0.6375)",0.2875,0.6375,319
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,320
Finally.,"Sentiment(polarity=0.0, subjectivity=1.0)",0,1,321
Finally.,"Sentiment(polarity=0.0, subjectivity=1.0)",0,1,322
"For years, the United States was being treated very unfairly by friends of ours, members of NATO.","Sentiment(polarity=-0.65, subjectivity=1.0)",-0.65,1,323
"But now we have secured, over the last couple of years, more than $100 billion of increase in defense spending from our NATO Allies.","Sentiment(polarity=0.25, subjectivity=0.2833333333333333)",0.25,0.283333333,324
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,325
They said it couldn't be done.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,326
"As part of our military build-up, the United States is developing a state-of-the-art missile defense system.","Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,327
"Under my administration, we will never apologize for advancing America's interests.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,328
"For example, decades ago, the United States entered into a treaty with Russia in which we agreed to limit and reduce our missile capability.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,329
"While we followed the agreement and the rules to the letter, Russia repeatedly violated its terms.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,330
It's been going on for many years.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,331
"That is why I announced that the United States is officially withdrawing from the Intermediate-Range Nuclear Forces Treaty, or INF Treaty.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,332
Perhaps � (applause) � we really have no choice.,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,333
"Perhaps we can negotiate a different agreement, adding China and others, or perhaps we can't � in which case, we will outspend and out-innovate all others by far.","Sentiment(polarity=0.05, subjectivity=0.8)",0.05,0.8,334
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,335
"As part of a bold new diplomacy, we continue our historic push for peace on the Korean Peninsula.","Sentiment(polarity=0.15656565656565655, subjectivity=0.3737373737373737)",0.156565657,0.373737374,336
"Our hostages have come home, nuclear testing has stopped, and there has not been a missile launch in more than 15 months.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,337
"If I had not been elected President of the United States, we would right now, in my opinion, be in a major war with North Korea.","Sentiment(polarity=0.17410714285714285, subjectivity=0.5178571428571428)",0.174107143,0.517857143,338
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,339
"Much work remains to be done, but my relationship with Kim Jong Un is a good one.","Sentiment(polarity=0.44999999999999996, subjectivity=0.4)",0.45,0.4,340
Chairman Kim and I will meet again on February 27th and 28th in Vietnam.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,341
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,342
"Two weeks ago, the United States officially recognized the legitimate government of Venezuela � (applause) � and its new President, Juan Guaid�.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,343
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,344
"We stand with the Venezuelan people in their noble quest for freedom, and we condemn the brutality of the Maduro regime, whose socialist policies have turned that nation from being the wealthiest in South America into a state of abject poverty and despair.","Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,345
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,346
"Here in the United States, we are alarmed by the new calls to adopt socialism in our country.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,347
"AUDIENCE: Booo �
THE PRESIDENT: America was founded on liberty and independence, and not government coercion, domination, and control.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,348
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,349
We are born free and we will stay free.,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,350
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,351
AUDIENCE: USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,352
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,353
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,354
"THE PRESIDENT: Tonight, we renew our resolve that America will never be a socialist country.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,355
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,356
AUDIENCE: USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,357
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,358
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,359
"THE PRESIDENT: One of the most complex set of challenges we face, and have for many years, is in the Middle East.","Sentiment(polarity=0.175, subjectivity=0.35)",0.175,0.35,360
"Our approach is based on principled realism, not discredited theories that have failed for decades to yield progress.","Sentiment(polarity=-0.5, subjectivity=0.3)",-0.5,0.3,361
"For this reason, my administration recognized the true capital of Israel, and proudly opened the American Embassy in Jerusalem.","Sentiment(polarity=0.3833333333333333, subjectivity=0.5499999999999999)",0.383333333,0.55,362
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,363
Our brave troops have now been fighting in the Middle East for almost 19 years.,"Sentiment(polarity=0.4, subjectivity=0.5)",0.4,0.5,364
"In Afghanistan and Iraq, nearly 7,000 American heroes have given their lives.","Sentiment(polarity=0.05, subjectivity=0.2)",0.05,0.2,365
"More than 52,000 Americans have been badly wounded.","Sentiment(polarity=-0.09999999999999992, subjectivity=0.5833333333333333)",-0.1,0.583333333,366
We have spent more than $7 trillion in fighting wars in the Middle East.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.19999999999999998)",0.133333333,0.2,367
"As a candidate for President, I loudly pledged a new approach.","Sentiment(polarity=0.11818181818181818, subjectivity=0.6272727272727273)",0.118181818,0.627272727,368
Great nations do not fight endless wars.,"Sentiment(polarity=0.3375, subjectivity=0.75)",0.3375,0.75,369
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,370
"When I took office, ISIS controlled more than 20,000 square miles in Iraq and Syria � just two years ago.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,371
"Today, we have liberated virtually all of the territory from the grip of these bloodthirsty monsters.","Sentiment(polarity=-0.5, subjectivity=0.9)",-0.5,0.9,372
"Now, as we work with our allies to destroy the remnants of ISIS, it is time to give our brave warriors in Syria a warm welcome home.","Sentiment(polarity=0.5, subjectivity=0.625)",0.5,0.625,373
I have also accelerated our negotiations to reach � if possible � a political settlement in Afghanistan.,"Sentiment(polarity=0.0, subjectivity=0.55)",0,0.55,374
The opposing side is also very happy to be negotiating.,"Sentiment(polarity=1.0, subjectivity=1.0)",1,1,375
Our troops have fought with unmatched valor.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,376
"And thanks to their bravery, we are now able to pursue a possible political solution to this long and bloody conflict.","Sentiment(polarity=-0.025000000000000022, subjectivity=0.5375)",-0.025,0.5375,377
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,378
"In Afghanistan, my administration is holding constructive talks with a number of Afghan groups, including the Taliban.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,379
"As we make progress in these negotiations, we will be able to reduce our troop's presence and focus on counterterrorism.","Sentiment(polarity=0.5, subjectivity=0.625)",0.5,0.625,380
And we will indeed focus on counterterrorism.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,381
"We do not know whether we will achieve an agreement, but we do know that, after two decades of war, the hour has come to at least try for peace.","Sentiment(polarity=-0.3, subjectivity=0.4)",-0.3,0.4,382
And the other side would like to do the same thing.,"Sentiment(polarity=-0.0625, subjectivity=0.25)",-0.0625,0.25,383
It's time.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,384
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,385
"Above all, friend and foe alike must never doubt this nation's power and will to defend our people.","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,386
"Eighteen years ago, violent terrorists attacked the USS Cole.","Sentiment(polarity=-0.8, subjectivity=1.0)",-0.8,1,387
"And last month, American forces killed one of the leaders of that attack.","Sentiment(polarity=-0.06666666666666667, subjectivity=0.022222222222222223)",-0.066666667,0.022222222,388
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,389
"We are honored to be joined tonight by Tom Wibberley, whose son, Navy Seaman Craig Wibberley, was one of the 17 sailors we tragically lost.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,390
"Tom, we vow to always remember the heroes of the USS Cole.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,391
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,392
"Thank you, Tom.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,393
My administration has acted decisively to confront the world's leading state sponsor of terror: the radical regime in Iran.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,394
It is a radical regime.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,395
"They do bad, bad things.","Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",-0.7,0.666666667,396
"To ensure this corrupt dictatorship never acquires nuclear weapons, I withdrew the United States from the disastrous Iran nuclear deal.","Sentiment(polarity=-0.6, subjectivity=0.9)",-0.6,0.9,397
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,398
"And last fall, we put in place the toughest sanctions ever imposed by us on a country.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,399
"We will not avert our eyes from a regime that chants ""Death to America"" and threatens genocide against the Jewish people.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,400
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,401
"We must never ignore the vile poison of anti-Semitism, or those who spread its venomous creed.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,402
"With one voice, we must confront this hatred anywhere and everywhere it occurs.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,403
"Just months ago, 11 Jewish-Americans were viciously murdered in an anti-Semitic attack on the Tree of Life synagogue in Pittsburgh.","Sentiment(polarity=-1.0, subjectivity=1.0)",-1,1,404
SWAT Officer Timothy Matson raced into the gunfire and was shot seven times chasing down the killer.,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.155555556,0.288888889,405
And he was very successful.,"Sentiment(polarity=0.9750000000000001, subjectivity=1.0)",0.975,1,406
"Timothy has just had his 12th surgery, and he is going in for many more.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,407
But he made the trip to be here with us tonight.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,408
"Officer Matson, please.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,409
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,410
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,411
We are forever grateful.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,412
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,413
"Tonight, we are also joined by Pittsburgh survivor, Judah Samet.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,414
He arrived at the synagogue as the massacre began.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,415
"But not only did Judah narrowly escape death last fall, more than seven decades ago, he narrowly survived the Nazi concentration camps.","Sentiment(polarity=0.019999999999999997, subjectivity=0.47333333333333333)",0.02,0.473333333,416
Today is Judah's 81st birthday.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,417
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,418
"AUDIENCE: (Sings ""Happy Birthday."")","Sentiment(polarity=0.025000000000000022, subjectivity=1.0)",0.025,1,419
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,420
MR. SAMET: Thank you!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,421
"THE PRESIDENT: They wouldn't do that for me, Judah.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,422
(Laughter.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,423
"Judah says he can still remember the exact moment, nearly 75 years ago, after 10 months in a concentration camp, when he and his family were put on a train and told they were going to another camp.","Sentiment(polarity=0.175, subjectivity=0.325)",0.175,0.325,424
"Suddenly, the train screeched to a very strong halt.","Sentiment(polarity=0.2816666666666667, subjectivity=0.7266666666666666)",0.281666667,0.726666667,425
A soldier appeared.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,426
Judah's family braced for the absolute worst.,"Sentiment(polarity=-0.4, subjectivity=0.95)",-0.4,0.95,427
"Then, his father cried out with joy, ""It's the Americans!","Sentiment(polarity=1.0, subjectivity=0.2)",1,0.2,428
"It's the Americans!""","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,429
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,430
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,431
"A second Holocaust survivor who is here tonight, Joshua Kaufman, was a prisoner at Dachau.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,432
He remembers watching through a hole in the wall of a cattle car as American soldiers rolled in with tanks.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,433
"""To me,"" Joshua recalls, ""the American soldiers were proof that God exists, and they came down from the sky.""","Sentiment(polarity=-0.07777777777777779, subjectivity=0.14444444444444446)",-0.077777778,0.144444444,434
They came down from Heaven.,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.155555556,0.288888889,435
I began this evening by honoring three soldiers who fought on D-Day in the Second World War.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,436
One of them was Herman Zeitchik.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,437
But there is more to Herman's story.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,438
"A year after he stormed the beaches of Normandy, Herman was one of the American soldiers who helped liberate Dachau.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,439
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,440
He was one of the Americans who helped rescue Joshua from that hell on Earth.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,441
"Almost 75 years later, Herman and Joshua are both together in the gallery tonight, seated side-by-side, here in the home of American freedom.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,442
"Herman and Joshua, your presence this evening is very much appreciated.","Sentiment(polarity=0.2, subjectivity=0.1)",0.2,0.1,443
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,444
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,445
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,446
"When American soldiers set out beneath the dark skies over the English Channel in the early hours of D-Day, 1944, they were just young men of 18 and 19, hurtling on fragile landing craft toward the most momentous battle in the history of war.","Sentiment(polarity=0.07857142857142858, subjectivity=0.3)",0.078571429,0.3,447
They did not know if they would survive the hour.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,448
They did not know if they would grow old.,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2,449
But they knew that America had to prevail.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,450
Their cause was this nation and generations yet unborn.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,451
Why did they do it?,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,452
They did it for America.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,453
They did it for us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,454
"Everything that has come since � our triumph over communism, our giant leaps of science and discovery, our unrivaled progress towards equality and justice � all of it is possible thanks to the blood and tears and courage and vision of the Americans who came before.","Sentiment(polarity=0.06666666666666667, subjectivity=0.7333333333333334)",0.066666667,0.733333333,455
Think of this Capitol.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,456
"Think of this very Chamber, where lawmakers before you voted to end slavery, to build the railroads and the highways, and defeat fascism, to secure civil rights, and to face down evil empires.","Sentiment(polarity=-0.13888888888888887, subjectivity=0.5472222222222223)",-0.138888889,0.547222222,457
"Here tonight, we have legislators from across this magnificent republic.","Sentiment(polarity=1.0, subjectivity=1.0)",1,1,458
